commodity,commodity_group,commodity_uuid,units
"PADDY BPT-5204","Unknown","VAAR571","Rs./Quintal"
"PADDY CO 51","Unknown","VAAR715","Rs./Quintal"
"PADDY CO 51(TN)","Unknown","VAAR614","Rs./Quintal"
"PADDY COMMON","Unknown","VAAR562","Rs./Quintal"
"PADDY COMMON JAYA","Unknown","VAAR660","Rs./Quintal"
"PADDY CULTURE ","Unknown","VAAR832","Rs./Quintal"
"PADDY HMT","Unknown","VAAR618","Rs./Quintal"
"PADDY HMT OLD","Unknown","VAAR665","Rs./Quintal"
"PADDY IR 36","Unknown","VAAR654","Rs./Quintal"
"PADDY IR64 NEW","Unknown","VAAR621","Rs./Quintal"
"PADDY IR64 OLD","Unknown","VAAR643","Rs./Quintal"
"PADDY JAI SRI RAM","Unknown","VAAR619","Rs./Quintal"
"PADDY LOCAL","Unknown","VAAR551","Rs./Quintal"
"PADDY OTHERS","Unknown","VAAR552","Rs./Quintal"
"PADDY PONNI WHITE(TN)","Unknown","VAAR640","Rs./Quintal"
"PADDY PONNI(TN)","Unknown","VAAR612","Rs./Quintal"
"PADDY RB GOLD","Unknown","VAAR652","Rs./Quintal"
"PADDY RNR","Unknown","VAAR659","Rs./Quintal"
"PADDY RNR (TN)","Unknown","VAAR613","Rs./Quintal"
"PADDY RNR OLD","Unknown","VAAR642","Rs./Quintal"
"PADDY SAMBA MASURI","Unknown","VAAR604","Rs./Quintal"
"PADDY-BASMATI ","Unknown","VAAR769","Rs./Quintal"
"PADDY-BASMATI1121","Unknown","VAAR721","Rs./Quintal"
"PADDY-BASMATI1509","Unknown","VAAR742","Rs./Quintal"
"PADDY-BPT","Unknown","VAAR798","Rs./Quintal"
"PADDY-COMMON GRADE","Unknown","VAAR741","Rs./Quintal"
"PADDY-DEV BHOG","Unknown","VAAR757","Rs./Quintal"
"PADDY-DUPLICATE BASMATI","Unknown","VAAR772","Rs./Quintal"
"PADDY-GRADE 1","Unknown","VAAR811","Rs./Quintal"
"PADDY-GRADE A","Unknown","VAAR813","Rs./Quintal"
"PADDY-HMT","Unknown","VAAR751","Rs./Quintal"
"PADDY-IR.64","Unknown","VAAR750","Rs./Quintal"
"PADDY-JAI SRIRAM","Unknown","VAAR752","Rs./Quintal"
"PADDY-MAHAMAYA","Unknown","VAAR755","Rs./Quintal"
"PADDY-MTU 1010","Unknown","VAAR756","Rs./Quintal"
"PADDY-PR","Unknown","VAAR763","Rs./Quintal"
"PADDY-R.N.R","Unknown","VAAR801","Rs./Quintal"
"PADDY-SAFARI","Unknown","VAAR820","Rs./Quintal"
"PADDY-SHARBATHI","Unknown","VAAR810","Rs./Quintal"
"PADDY-SWARNAMASOORI","Unknown","VAAR758","Rs./Quintal"
"PADDY-VISHNUBHOG","Unknown","VAAR753","Rs./Quintal"
"PADDY(75 KG)","Unknown","VAAR781","Rs./Quintal"
"Paddy(Basmati)","Cereals","VAAR343","Rs./Quintal"
"Paddy(Common)","Cereals","VAAR2","Rs./Quintal"
"Papaya","Fruits","VAAR59","Rs./Quintal"
"Papaya(Raw)","Vegetables","VAAR264","Rs./Quintal"
"PASSION FRUIT","Fruits","VAAR504","Rs./Quintal"
"Patti Calcutta","Flowers","VAAR333","Rs./Quintal"
"Pea Pod/Pea Cod/हरी मटर","Vegetables","VAAR259","Rs./Quintal"
"Peach","Fruits","VAAR281","Rs./Quintal"
"PEACH","Fruits","VAAR281","Rs./Quintal"
"PEANUT KERNAL","Unknown","VAAR648","Rs./Quintal"
"PEANUTS-LOCAL","Unknown","VAAR570","Rs./Quintal"
"PEAR","Unknown","VAAR821","Rs./Quintal"
"Pear(Marasebu)","Fruits","VAAR280","Rs./Quintal"
"Peas cod","Vegetables","VAAR259","Rs./Quintal"
"PEAS GREEN ","Unknown","VAAR555","Rs./Quintal"
"Peas Wet","Vegetables","VAAR146","Rs./Quintal"
"PEAS-DRY","Unknown","VAAR734","Rs./Quintal"
"Peas(Dry)","Pulses","VAAR295","Rs./Quintal"
"Pegeon Pea(Arhar Fali)","Vegetables","VAAR252","Rs./Quintal"
"Pepper garbled","Spices","VAAR93","Rs./Quintal"
"Pepper ungarbled","Spices","VAAR94","Rs./Quintal"
"PERSIMON","Unknown","VAAR707","Rs./Quintal"
"Persimon(Japani Fal)","Fruits","VAAR277","Rs./Quintal"
"Pigs","Live Stock,Poultry,Fisheries","VAAR179","Rs./Unit"
"Pineapple","Fruits","VAAR21","Rs./Quintal"
"Plum","Fruits","VAAR279","Rs./Quintal"
"PLUM","Fruits","VAAR279","Rs./Quintal"
"POINTED GOURD (PARWAL)","Unknown","VAAR764","Rs./Quintal"
"Pointed gourd(Parval)","Vegetables","VAAR254","Rs./Quintal"
"Pomegranate","Fruits","VAAR160","Rs./Quintal"
"POMEGRANATE - BHAGAWA","Fruits","VAAR160","Rs./Quintal"
"PONGAM SEEDS","Unknown","VAAR838","Rs./Quintal"
"poppy seeds","Spices","VAAR350","Rs./Quintal"
"Potato","Vegetables","VAAR24","Rs./Quintal"
"POTATO","Vegetables","VAAR24","Rs./Quintal"
"POTATO SWEET","Unknown","VAAR724","Rs./Quintal"
"PRAWN_WHITE PRAWN","Live Stock,Poultry,Fisheries","VAAR510","Rs./Quintal"
"Pumpkin","Vegetables","VAAR70","Rs./Quintal"
"PUMPKIN","Vegetables","VAAR70","Rs./Quintal"
"Pundi Seed","Forest Products","VAAR110","Rs./Quintal"
"Pupadia","Drug and Narcotics","VAAR376","Rs./Quintal"
"Quince(Nakh)","Fruits","VAAR513","Rs./Quintal"
"Raddish","Vegetables","VAAR133","Rs./Quintal"
"RADDISH","Vegetables","VAAR133","Rs./Quintal"
"RAGI","Unknown","VAAR789","Rs./Quintal"
"RAGI-LOCAL","Unknown","VAAR795","Rs./Quintal"
"Ragi(Finger Millet)","Cereals","VAAR30","Rs./Quintal"
"Raibel","Flowers","VAAR338","Rs./Quintal"
"Rajgir","Others","VAAR205","Rs./Quintal"
"RAJMA","Unknown","VAAR655","Rs./Quintal"
"Ram","Live Stock,Poultry,Fisheries","VAAR235","Rs./Unit"
"RAPESEED","Unknown","VAAR650","Rs./Quintal"
"Rat Tail Radish(Mogari)","Vegetables","VAAR258","Rs./Quintal"
"RAW BANANA","Unknown","VAAR579","Rs./Quintal"
"RAW BIOMASS(AGRO RESIDUE)","Others","VAAR515","Rs./Quintal"
"RAW CASHEWNUT-KAAJU","Unknown","VAAR651","Rs./Quintal"
"Raya","Others","VAAR54","Rs./Quintal"
"Rayee","Spices","VAAR448","Rs./Quintal"
"RED CHILLI-DRY","Unknown","VAAR602","Rs./Quintal"
"RED CHILLI-MOISTURED","Unknown","VAAR658","Rs./Quintal"
"Red Gram","Pulses","VAAR7","Rs./Quintal"
"RED GRAM-GAJRA","Unknown","VAAR809","Rs./Quintal"
"RED GRAM-HYBRID","Unknown","VAAR739","Rs./Quintal"
"RED GRAM-LOCAL","Unknown","VAAR740","Rs./Quintal"
"REDGRAM DAL","Unknown","VAAR603","Rs./Quintal"
"REDGRAM-BLACK","Unknown","VAAR691","Rs./Quintal"
"REDGRAM-OLD","Unknown","VAAR690","Rs./Quintal"
"REDGRAM-RED","Unknown","VAAR560","Rs./Quintal"
"REDGRAM-WHITE","Unknown","VAAR692","Rs./Quintal"
"Rice","Cereals","VAAR3","Rs./Quintal"
"RIDGE GOURD (TURAI)","Unknown","VAAR695","Rs./Quintal"
"Ridge Gourd(Permal/Hybrid Gourd)","Vegetables","VAAR519","Rs./Quintal"
"Ridgeguard(Tori)","Vegetables","VAAR132","Rs./Quintal"
"Rose(Local)","Flowers","VAAR321","Rs./Unit"
"Rose(Loose))","Flowers","VAAR186","Rs./Quintal"
"Round gourd","Vegetables","VAAR257","Rs./Quintal"
"Rubber","Others","VAAR95","Rs./Quintal"
"Sabu Dan","Others","VAAR243","Rs./Quintal"
"Safflower","Oil Seeds","VAAR48","Rs./Quintal"
"Saffron","Spices","VAAR286","Rs./Quintal"
"Sajje","Cereals","VAAR225","Rs./Quintal"
"SAMA-MASURI","Unknown","VAAR586","Rs./Quintal"
"Same/Savi","Cereals","VAAR105","Rs./Quintal"
"Season Leaves","Vegetables","VAAR230","Rs./Quintal"
"Seemebadnekai","Vegetables","VAAR148","Rs./Quintal"
"Seetapal","Fruits","VAAR162","Rs./Quintal"
"Sem","Vegetables","VAAR523","Rs./Quintal"
"SEM","Vegetables","VAAR523","Rs./Quintal"
"SESAME SEED","Unknown","VAAR581","Rs./Quintal"
"Sesamum(Sesame,Gingelly,Til)","Oil Seeds","VAAR11","Rs./Quintal"
"She Buffalo","Live Stock,Poultry,Fisheries","VAAR176","Rs./Unit"
"She Goat","Live Stock,Poultry,Fisheries","VAAR236","Rs./Unit"
"Sheep","Live Stock,Poultry,Fisheries","VAAR177","Rs./Unit"
"SILK COCOON(BH) _DOUBLE HYBR ","Live Stock,Poultry,Fisheries","VAAR525","Rs./Quintal"
"SNAKE GOURD","Unknown","VAAR631","Rs./Quintal"
"Snakeguard","Vegetables","VAAR128","Rs./Quintal"
"Snow Mountain Garlic","Vegetables","VAAR526","Rs./Quintal"
"Soanf","Spices","VAAR114","Rs./Quintal"
"Soapnut(Antawala/Retha)","Forest Products","VAAR167","Rs./Quintal"
"Soha","Oil Seeds","VAAR449","Rs./Quintal"
"SOUNF","Unknown","VAAR564","Rs./Quintal"
"SOYA SEEDS (WHITE)","Unknown","VAAR628","Rs./Quintal"
"SOYA WHITE","Unknown","VAAR606","Rs./Quintal"
"SOYA-LOCAL","Unknown","VAAR808","Rs./Quintal"
"SOYA-YELLOW","Unknown","VAAR731","Rs./Quintal"
"Soyabean","Oil Seeds","VAAR13","Rs./Quintal"
"SOYABEANS","Unknown","VAAR732","Rs./Quintal"
"Spinach","Vegetables","VAAR290","Rs./Quintal"
"SPINACH (PALAK)","Vegetables","VAAR290","Rs./Quintal"
"SPINACH (PALAK)","Unknown","VAAR722","Rs./Quintal"
"Sponge gourd","Vegetables","VAAR262","Rs./Quintal"
"SPONGE GOURD","Vegetables","VAAR262","Rs./Quintal"
"SPRING ONION","Unknown","VAAR588","Rs./Quintal"
"SQUASH","Unknown","VAAR768","Rs./Quintal"
"Squash(Chappal Kadoo)","Vegetables","VAAR282","Rs./Quintal"
"stevia","Drug and Narcotics","VAAR369","Rs./Quintal"
"Strawberry","Fruits","VAAR529","Rs./Quintal"
"STRAWBERRY","Fruits","VAAR529","Rs./Quintal"
"Sugar","Others","VAAR44","Rs./Quintal"
"SUGAR SNAP PEAS","Vegetables","VAAR530","Rs./Quintal"
"Sugarcane","Others","VAAR122","Rs./Quintal"
"SUGARCANE","Others","VAAR122","Rs./Quintal"
"SUN FLOWER SEEDS","Unknown","VAAR626","Rs./Quintal"
"Sunflower","Oil Seeds","VAAR14","Rs./Quintal"
"Sunflower Seed","Oil Seeds","VAAR238","Rs./Quintal"
"Sunhemp","Fibre Crops","VAAR117","Rs./Quintal"
"Surat Beans(Papadi)","Vegetables","VAAR251","Rs./Quintal"
"Suva(Dill Seed)","Oil Seeds","VAAR211","Rs./Quintal"
"Suvarna Gadde","Vegetables","VAAR150","Rs./Quintal"
"SWARNA PADDY","Unknown","VAAR573","Rs./Quintal"
"Sweet Corn ","Cereals","VAAR534","Rs./Quintal"
"SWEET CORN ","Cereals","VAAR534","Rs./Quintal"
"SWEET LEMON (MOSAMBI)","Unknown","VAAR591","Rs./Quintal"
"Sweet Potato","Vegetables","VAAR124","Rs./Quintal"
"Sweet Pumpkin","Vegetables","VAAR145","Rs./Quintal"
"Sweet Saag","Vegetables","VAAR535","Rs./Quintal"
"T.V. Cumbu","Cereals","VAAR103","Rs./Quintal"
"TAMARIND","Unknown","VAAR794","Rs./Quintal"
"TAMARIND BOTU","Unknown","VAAR835","Rs./Quintal"
"TAMARIND FLOWER","Unknown","VAAR637","Rs./Quintal"
"Tamarind Fruit","Forest Products","VAAR215","Rs./Quintal"
"TAMARIND KARPULI","Unknown","VAAR590","Rs./Quintal"
"Tamarind Seed","Forest Products","VAAR168","Rs./Quintal"
"TAMARIND SEED LOCAL","Unknown","VAAR666","Rs./Quintal"
"TAMARIND-FRUIT","Unknown","VAAR754","Rs./Quintal"
"Tapioca","Vegetables","VAAR85","Rs./Quintal"
"Taramira","Oil Seeds","VAAR63","Rs./Quintal"
"TARAMIRA","Oil Seeds","VAAR63","Rs./Quintal"
"Taro (Arvi) Leaves","Vegetables","VAAR537","Rs./Quintal"
"Taro (Arvi) Stem","Vegetables","VAAR538","Rs./Quintal"
"Tender Coconut","Fruits","VAAR161","Rs./Quintal"
"TENDER COCONUT (IN NO)","Unknown","VAAR778","Rs./Unit"
"TEVADA ","Pulses","VAAR539","Rs./Quintal"
"Thinai(Italian Millet)","Pulses","VAAR100","Rs./Quintal"
"Thogrikai","Vegetables","VAAR142","Rs./Quintal"
"Thondekai","Vegetables","VAAR134","Rs./Quintal"
"Tinda","Vegetables","VAAR297","Rs./Quintal"
"Tobacco","Drug and Narcotics","VAAR119","Rs./Quintal"
"TOBACCO","Drug and Narcotics","VAAR119","Rs./Quintal"
"Tomato","Vegetables","VAAR65","Rs./Quintal"
"TOMATO","Vegetables","VAAR65","Rs./Quintal"
"Toria","Oil Seeds","VAAR55","Rs./Quintal"
"Tube Flower","Flowers","VAAR192","Rs./Quintal"
"Tube Rose(Double)","Flowers","VAAR330","Rs./Unit"
"Tube Rose(Loose)","Flowers","VAAR337","Rs./Quintal"
"Tube Rose(Single)","Flowers","VAAR324","Rs./Unit"
"TUBEROSE","Unknown","VAAR624","Rs./Quintal"
"tulip","Flowers","VAAR392","Rs./Quintal"
"TUR/ARHAR","Unknown","VAAR550","Rs./Quintal"
"TUR/ARHAR-MIXED","Unknown","VAAR697","Rs./Quintal"
"TUR/ARHAR-PEGION PIE","Unknown","VAAR699","Rs./Quintal"
"TUR/ARHAR-WHITE","Unknown","VAAR698","Rs./Quintal"
"Turmeric","Spices","VAAR35","Rs./Quintal"
"TURMERIC","Spices","VAAR35","Rs./Quintal"
"TURMERIC ATTU","Unknown","VAAR705","Rs./Quintal"
"TURMERIC BULB","Unknown","VAAR748","Rs./Quintal"
"TURMERIC BULB OLD","Unknown","VAAR804","Rs./Quintal"
"TURMERIC CHURA","Unknown","VAAR802","Rs./Quintal"
"TURMERIC FINGER","Unknown","VAAR749","Rs./Quintal"
"TURMERIC FINGURE OLD","Unknown","VAAR805","Rs./Quintal"
"Turmeric(raw)","Vegetables","VAAR260","Rs./Quintal"
"Turnip","Vegetables","VAAR289","Rs./Quintal"
"URAD (BLACK GRAM)","Unknown","VAAR559","Rs./Quintal"
"URAD DAAL","Unknown","VAAR597","Rs./Quintal"
"URAD-GREEN","Unknown","VAAR701","Rs./Quintal"
"URAD-RED","Unknown","VAAR700","Rs./Quintal"
"WALNUT","Dry Fruits","VAAR291","Rs./Quintal"
"Water chestnut","Others","VAAR450","Rs./Quintal"
"Water Melon","Fruits","VAAR60","Rs./Quintal"
"Wheat","Cereals","VAAR1","Rs./Quintal"
"Wheat Atta","Others","VAAR240","Rs./Quintal"
"WHEAT-BHANSI","Unknown","VAAR812","Rs./Quintal"
"WHEAT-HYBRID","Unknown","VAAR834","Rs./Quintal"
"White Muesli","Drug and Narcotics","VAAR358","Rs./Quintal"
"White Peas","Pulses","VAAR341","Rs./Quintal"
"WHITE PEAS","Pulses","VAAR341","Rs./Quintal"
"White Pumpkin","Vegetables","VAAR130","Rs./Quintal"
"WHITE-GINGELY","Unknown","VAAR717","Rs./Quintal"
"Wood","Forest Products","VAAR163","Rs./Quintal"
"Yam","Others","VAAR201","Rs./Quintal"
"Yam(Ratalu)","Vegetables","VAAR248","Rs./Quintal"
